STARTTIME;SOURCE;DEST;PROTO;PACKETS;BYTES;DURATION
2019-09-03T05:04:57;10.23.35.133:56922;8.8.8.8:53;udp;1;60;00:00:00
2019-09-03T05:05:02;10.23.35.133:55476;8.8.8.8:53;udp;1;69;00:00:00
2019-09-03T05:05:09;10.23.35.133:49414;8.8.8.8:53;udp;1;67;00:00:00
2019-09-03T05:05:12;10.23.35.61:21375;8.8.8.8:53;udp;11;742;00:00:00
2019-09-03T05:05:33;10.23.35.133:49510;8.8.8.8:53;udp;1;64;00:00:00
2019-09-03T05:05:47;10.23.35.61:42157;8.8.8.8:53;udp;11;742;00:00:00
2019-09-03T05:05:48;10.23.35.133:63998;8.8.8.8:53;udp;1;67;00:00:00
2019-09-03T05:06:23;10.23.35.61:4831;8.8.8.8:53;udp;11;742;00:00:00
2019-09-03T05:06:31;10.23.35.133:60207;8.8.8.8:53;udp;1;64;00:00:00
2019-09-03T05:06:59;10.23.35.61:18420;8.8.8.8:53;udp;11;742;00:00:00
2019-09-03T05:07:35;10.23.35.61:13447;8.8.8.8:53;udp;11;742;00:00:00
2019-09-03T05:08:11;10.23.35.61:22804;8.8.8.8:53;udp;11;742;00:00:00
2019-09-03T05:08:47;10.23.35.61:36599;8.8.8.8:53;udp;11;742;00:00:00
2019-09-03T05:09:23;10.23.35.61:7257;8.8.8.8:53;udp;11;742;00:00:00
2019-09-03T05:09:24;10.23.35.133:57777;8.8.8.8:53;udp;1;69;00:00:00
2019-09-03T05:09:59;10.23.35.61:21203;8.8.8.8:53;udp;11;742;00:00:00
2019-09-03T05:10:35;10.23.35.61:41387;8.8.8.8:53;udp;11;742;00:00:00
2019-09-03T05:11:11;10.23.35.61:26653;8.8.8.8:53;udp;11;742;00:00:00
2019-09-03T05:11:47;10.23.35.61:32118;8.8.8.8:53;udp;11;742;00:00:00
2019-09-03T05:12:23;10.23.35.61:52539;8.8.8.8:53;udp;11;742;00:00:00
2019-09-03T05:12:47;10.23.35.133:51885;8.8.8.8:53;udp;1;65;00:00:00
2019-09-03T05:12:59;10.23.35.61:42719;8.8.8.8:53;udp;11;742;00:00:00
2019-09-03T05:13:05;10.23.35.133:55315;8.8.8.8:53;udp;1;65;00:00:00
2019-09-03T05:13:35;10.23.35.61:30812;8.8.8.8:53;udp;11;742;00:00:00
2019-09-03T05:13:40;10.23.35.133:65461;8.8.8.8:53;udp;1;73;00:00:00
2019-09-03T05:14:10;10.23.35.61:11572;8.8.8.8:53;udp;11;742;00:00:00
2019-09-03T05:14:24;10.23.35.133:59991;8.8.8.8:53;udp;1;65;00:00:00
2019-09-03T05:14:36;10.23.35.133:57310;8.8.8.8:53;udp;1;62;00:00:00
2019-09-03T05:14:46;10.23.35.61:2350;8.8.8.8:53;udp;11;742;00:00:00
2019-09-03T05:15:22;10.23.35.61:40684;8.8.8.8:53;udp;11;742;00:00:00
