"_time","http.http_user_agent","http.protocol","http.http_method"
"2021-03-04T17:35:37.003+0100","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.190 Safari/537.36","HTTP/1.1",GET
"2021-03-04T17:35:36.989+0100","Mozilla/4.0 (compatible; ms-office; MSOffice 16)","HTTP/1.1",GET
"2021-03-04T17:35:36.984+0100","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.190 Safari/537.36","HTTP/1.1",GET
"2021-03-04T17:35:36.982+0100","Mozilla/4.0 (compatible; ms-office; MSOffice 16)","HTTP/1.1",GET
"2021-03-04T17:35:36.982+0100","Mozilla/5.0 (Windows NT 6.1; WOW64; Trident/7.0; rv:11.0) like Gecko","HTTP/1.1",GET
"2021-03-04T17:35:36.974+0100","Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/60.0.3112.32 Safari/537.36","HTTP/1.1",GET
"2021-03-04T17:35:36.972+0100","Mozilla/5.0 (Windows NT 6.1; WOW64; rv:48.0) Gecko/20100101 Firefox/48.0","HTTP/1.1",GET
"2021-03-04T17:35:36.949+0100","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.190 Safari/537.36","HTTP/1.1",GET
"2021-03-04T17:35:36.943+0100","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.182 Safari/537.36 Edg/88.0.705.81","HTTP/1.1",GET
"2021-03-04T17:35:36.939+0100","Mozilla/4.0 (compatible; ms-office; MSOffice 16)","HTTP/1.1",GET
"2021-03-04T17:35:36.939+0100","Mozilla/5.0 (X11; Linux armv7l) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/83.0.4103.97 Safari/537.36 CrKey/1.49.230269","HTTP/1.1",HEAD
"2021-03-04T17:35:36.935+0100","Mozilla/4.0 (compatible; ms-office; MSOffice 16)","HTTP/1.1",GET
"2021-03-04T17:35:36.928+0100","Mozilla/5.0 (X11; Linux armv7l) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/83.0.4103.97 Safari/537.36 CrKey/1.49.230269","HTTP/1.1",HEAD
"2021-03-04T17:35:36.896+0100","Mozilla/4.0 (compatible; ms-office; MSOffice 16)","HTTP/1.1",GET
"2021-03-04T17:35:36.892+0100","Mozilla/5.0 (Windows NT 10.0; WOW64; Trident/7.0; rv:11.0) like Gecko","HTTP/1.1",GET
"2021-03-04T17:35:36.891+0100","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.190 Safari/537.36","HTTP/1.1",GET
